domain,"name","description",date
conservativepaper.us,"Conservative Paper","<p><a href=&quot;http://www.conservativepaper.us/&quot;>Conservativepaper.us</a> doesn&#8217;t have a disclaimer, but it does say in small type at the bottom of the homepage:</p><p>&#8220;SATIRE World.&#8221;</p><p>The site had been registered to an owner in Macedonia, but it changed the <a href=&quot;http://whois.domaintools.com/conservativepaper.us&quot;>registration information</a> to the address for a church in South Carolina and included a Bulgarian phone number. The same owner had registered the now-defunct site <span>TheLibertyNews.us.</span></p>",2018-11-18
conservativepost.com,"Conservative Post","<p><a href=&quot;https://conservativepost.com/&quot;>Conservativepost.com</a> has this disclaimer on its &#8220;<a href=&quot;https://web.archive.org/web/20180712170830/https://conservativepost.com/terms-of-service/&quot;>Terms Of Service</a>&#8221; page:</p><p>&#8220;<span>The website disclaims any responsibility for the accuracy of the content of this website. Visitors assume the all risk of viewing, reading, using, or relying upon this information. Unless you have otherwise formed an express contract to the contrary with the website, you have no right to rely on any information contained herein as accurate. The website makes no such warranty.</span>&#8221;</p><p>It describes itself this way on its &#8220;<a href=&quot;https://conservativepost.com/contact/&quot;>Contact</a>&#8221; page:</p><p>&#8220;<span>The Conservative Post exists to spread freedom of information, conservative values, and truth to the public through various media forms. We are an organization committed to upholding the First Amendment right of the Freedom of Speech and make every effort to lend to our readers—and Americans everywhere—strength, compassion, and honor. We welcome input and engagement from you, our online community, in mutual respect and courage to face our America, together.</span>&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/conservativepost.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
daily-vine.com,"Daily Vine","<p><a href=&quot;https://daily-vine.com/&quot;>Daily-vine.com</a> often posts exaggerated or misleading headlines and stories that are slanted with opinion. It doesn&#8217;t have a disclaimer, but it has the <a href=&quot;https://web.archive.org/web/20180403211619/https://daily-vine.com/author/libertybelle/&quot;>same</a> <a href=&quot;https://web.archive.org/web/20180201225932/http://freedomdaily.com/author/libertybelle/&quot;>writers</a> as the now-defunct, but once prolific, website Freedom Daily, which used to say on its &#8220;<a href=&quot;https://web.archive.org/web/20180201192424/https://freedomdaily.com/about-us/&quot;>About</a>&#8221; page:</p><p>&#8220;<span>Freedom Daily exists to present a forum for discussing meaningful conservative American and world news, from a perspective that is not your normal agenda-based Beltway bull. Articles on Freedom Daily are posted by members who are warriors for America’s freedom. We post and decipher content to a level that is consistent with a common sense approach and falls in line with the ideals of American liberty and freedom.</span>&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/daily-vine.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
empirenews.net,"Empire News","<p><a href=&quot;http://empirenews.net/&quot;>empirenews.net</a> has this disclaimer on its &#8220;<a href=&quot;https://web.archive.org/web/20180405194329/http://empirenews.net/about-disclaimer/&quot;>About / Disclaimer</a>&#8221; page:</p><p>&#8220;<span>Empire News is intended for entertainment purposes only. Our website and social media content uses only fictional names,</span> except in cases of public figure and celebrity parody or satirization.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/empirenews.net&quot;>registered</a> through 1&amp;1 Internet, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
en-volve.com,"enVolve","<p><a href=&quot;https://en-volve.com/&quot;>En-volve.com</a> has this disclaimer on its &#8220;<a href=&quot;https://web.archive.org/web/20180405200004/https://en-volve.com/terms-of-service/&quot;>Website Terms of Use</a>&#8221; page:</p><p>&#8220;The information presented on or through the Website is made available solely for general information and entertainment purposes. We do not warrant the accuracy, completeness or usefulness of this information. Any reliance you place on such information is strictly at your own risk. We disclaim all liability and responsibility arising from any reliance placed on such materials by you or any other visitor to the Website, or by anyone who may be informed of any of its contents.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/en-volve.com&quot;>registered</a> through 1&amp;1 Internet, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
fbnewscycle.com,"FB News Cycle","<p><a href=&quot;http://fbnewscycle.com/&quot;>Fbnewscycle.com</a> has this disclaimer on its &#8220;<a href=&quot;http://fbnewscycle.com/about/&quot;>About</a>&#8221; page:</p><p>&#8220;FBNewsCycle.com should not be considered an unbiased news source, rather we publish opinions and interpretations of the day’s news by Conservative and Libertarian bloggers. Again, FBNewsCycle.com publishes commentary and opinion by conservatives and libertarians, not unbiased news reporting.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/fbnewscycle.com&quot;>registered</a> through Domain Privacy Service, a company that hides the identity and location of the owner of the website.</p><p>According to the site&#8217;s &#8220;<a href=&quot;https://web.archive.org/web/20180820180028/http://fbnewscycle.com/about/&quot;>About</a>&#8221; page, it is owned by <a href=&quot;http://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=EntityName&amp;directionType=Initial&amp;searchNameOrder=POWERTOPUBLISHER%20L160000012200&amp;aggregateId=flal-l16000001220-8f1de4c8-133e-4c60-afd1-8ff243395bdd&amp;searchTerm=Power%20To%20The%20Publisher&amp;listNameOrder=POWERTOPUBLISHER%20L160000012200&quot;>Power To The Publisher LLC</a>, which is based in Florida. Power To The Publisher also owns BannedInformation.com.</p>",2018-11-18
fellowshipoftheminds.com,"Fellowship of the Minds","<p><a href=&quot;https://fellowshipoftheminds.com/&quot;>Fellowshipoftheminds.com</a> has an extensive &#8220;<a href=&quot;https://fellowshipoftheminds.com/false-flags/&quot;>Conspiracies/False Flags</a>&#8221; section on its website and says on its &#8220;<a href=&quot;https://fellowshipoftheminds.com/about/&quot;>About</a>&#8221; page:</p><p>&#8220;<span>We are Conservatives in the undying tradition of America’s Founding Fathers, deeply concerned about the sorry state of our country and the ruinous path our government, political, and cultural elites have taken. That is why we have formed this fellowship of the minds d</span>espite our very different backgrounds, but a deep love for God and country in common.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/fellowshipoftheminds.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
gellerreport.com,"Geller Report","<p><a href=&quot;https://gellerreport.com/&quot;>Gellerreport.com</a> is run by <a href=&quot;https://gellerreport.com/about/&quot;>Pamela Geller</a>, an anti-Islamic activist.</p><p>The site is <a href=&quot;http://whois.domaintools.com/gellerreport.com&quot;>registered</a> through Geller&#8217;s nonprofit organization, the <a href=&quot;http://afdi.us/&quot;>American Freedom Defense Initiative</a>.</p>",2018-11-18
infowars.com,"Info Wars","<p><a href=&quot;https://www.infowars.com/&quot;>Infowars.com</a> is the website for the popular conspiracy theory radio show by the same name. On its &#8220;<a href=&quot;https://www.infowars.com/about-alex-jones-show/&quot;>About</a>&#8221; page, it says in part:</p><p><span>Owner Alex Jones &#8220;believes that informing people about the true nature of power, we can foster a real debate about humanity&#8217;s destiny and allow the species to evolve towards a more orderly singularity that has humans at the core of a system which is based around maintaining free will and integrity &#8211; defying the transhumanist goal of Social Darwinism and scientific dictatorship.</span>&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/infowars.com&quot;>registered</a> through Jones&#8217; Texas-based limited liability company, <a href=&quot;https://cdn.factcheck.org/UploadedFiles/AlexJones.pdf&quot;>Free Speech Systems</a>.</p>",2018-11-18
kagfeed.com,"Keep America Great!","<p><a href=&quot;https://kagfeed.com/&quot;>KAGfeed.com</a> posts conservative-leaning stories and appears to be related to Truthfeednews.com, since it refers to a related domain on its &#8220;<a href=&quot;https://web.archive.org/web/20180712162520/https://kagfeed.com/privacy-policy/&quot;>Privacy Policy</a>&#8221; page. It has this disclaimer on its &#8220;<a href=&quot;https://kagfeed.com/tos/&quot;>Terms of Service</a>&#8221; page:</p><p>&#8220;<span>Your use of the Service is at your sole risk. The Service is provided on an &#8216;AS IS&#8217; and &#8216;AS AVAILABLE&#8217; basis. The Service is provided without warranties of any kind, whether express or implied, including, but not limited to, implied warranties of merchantability, fitness for a particular purpose, non-infringement or course of performance.</span>&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/kagfeed.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
