domain,"name","description",date
rightwingtribune.com,"Right Wing Tribune","<p><a href=&quot;https://rightwingtribune.com/&quot;>Rightwingtribune.com</a> doesn&#8217;t have a disclaimer, but it does say on <a href=&quot;https://www.facebook.com/pg/EXTREMELYPISSEDOFFRIGHTWINGERS2/about/?ref=page_internal&quot;>one</a> <a href=&quot;https://www.facebook.com/pg/ExtremelyPissedOffRightWingers3/about/?ref=page_internal&quot;>of</a> <a href=&quot;https://www.facebook.com/pg/NationInDistress/about/?ref=page_internal&quot;>at</a> <a href=&quot;https://www.facebook.com/pg/AmericasFreedomFighters/about/?ref=page_internal&quot;>least</a> <a href=&quot;https://www.facebook.com/pg/AFFMediaInc/about/?ref=page_internal&quot;>five</a> associated Facebook pages:</p><p>&#8220;<a href=&quot;https://www.facebook.com/pg/EXTREMELYPISSEDOFFRIGHTWINGERS2/about/?ref=page_internal&quot;>If You Are A Right Winger And PISSED You’re In The Right Place. We Provide High Quality Journalism With Viral Memes and Video In Between! So Give Us A Like! You Won’t Be Dissapointed</a>.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/rightwingtribune.com&quot;>registered</a> through The Endurance International Group, a company that hides the identity and location of the owner of the website.</p><p>But it is run by a father and son in California, Dino Porrazzo Sr. and Dino Porrazzo Jr., who <a href=&quot;https://businesssearch.sos.ca.gov/Document/RetrievePDF?Id=03985176-21880807&quot;>incorporated</a> AFF Media Inc. in 2017 and also run the website <a href=&quot;https://americasfreedomfighters.com/&quot;>Americasfreedomfighters.com</a>.</p>",2018-11-18
rwnofficial.com,"Right Wing News","<p><a href=&quot;https://rwnofficial.com/&quot;>RWNofficial.com</a> posts right-leaning articles that sometimes include false information. It says on its &#8220;<a href=&quot;https://rwnofficial.com/about-us/&quot;>About Us</a>&#8221; page:</p><p>&#8220;Right Wing News publishes content that is traditional news, opinion based and is consistent with conservative values.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/rwnofficial.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
specialnewsusa.com,"Special News USA","<p><a href=&quot;http://specialnewsusa.com/&quot;>SpecialNewsUSA.com</a> posts clickbait stories and has no disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/specialnewsusa.com&quot;>registered</a> through Domain Protection Services, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
stgeorgegazette.com,"St. George Gazette","<p><a href=&quot;https://stgeorgegazette.com/&quot;>Stgeorgegazette.com</a> doesn&#8217;t have a disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/stgeorgegazette.com&quot;>registered</a> through Who is Guard, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
stuppid.com,"Stuppid","<p><a href=&quot;http://stuppid.com/&quot;>Stuppid.com</a> doesn&#8217;t have a disclaimer, but it does say this on its &#8220;<a href=&quot;http://stuppid.com/about/&quot;>About</a>&#8221; page:</p><p>&#8220;Stuppid.com reports stupid news we find around the web and from other sources. We aim to publish the stupidest, craziest stuff we can find.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/stuppid.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
teddystick.com,"Teddy Stick","<p><a href=&quot;https://teddystick.com/&quot;>Teddystick.com</a> posts conservative-leaning stories and says on its &#8220;<a href=&quot;https://teddystick.com/about/&quot;>About</a>&#8221; page:</p><p>&#8220;Because of the internet, a new political energy has taken America by storm (the same energy that carried Trump to the White House). No longer are citizens tied to the biased information of mainstream news outlets. Instead, emerging alternative publishers have been able to connect with audiences in a much more authentic and factual way.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/teddystick.com&quot;>registered</a> through Who is Guard, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
theamericanews.co,"The American News","<p><a href=&quot;http://www.theamericanews.co/&quot;>Theamericanews.co</a> doesn&#8217;t have a disclaimer, but it does say on its &#8220;<a href=&quot;http://www.theamericanews.co/about/&quot;>About Us</a>&#8221; page:</p><p>&#8220;News &amp; opinion on politics without the PC BS from typical mainstream media. We aim to bring you the latest in important news without all the fluff. We want to help American citizens TAKE BACK AMERICA and MAKE AMERICA GREAT AGAIN!&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/theamericanews.co&quot;>registered</a> to an owner in Pakistan.</p>",2018-11-18
theconservativetreehouse.com,"The Conservative Tree House","<p><a href=&quot;https://theconservativetreehouse.com/&quot;>Theconservativetreehouse.com</a> posts conservative-leaning stories that sometimes include misinformation. It has a lengthy description on its &#8220;<a href=&quot;https://theconservativetreehouse.com/about/&quot;>About Us</a>&#8221; page, including:</p><p>&#8220;Fear is at the core of liberalism, and love/trust is at the core of conservatism. Liberalism is about control. Conservatism is about self-empowerment.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/theconservativetreehouse.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
thelibertyraise.com,"Liberty Raise","<p><a href=&quot;http://www.thelibertyraise.com/&quot;>Thelibertyraise.com</a> posts stories copied from other sites. Sometimes those sites have labeled their content as &#8220;satire,&#8221; but Liberty Raise does not include the disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/thelibertyraise.com&quot;>registered</a> to an owner in Macedonia.</p>",2018-11-18
the-postillon.com,"The Postillon","<p><a href=&quot;https://www.the-postillon.com/&quot;>The-postillon.com</a> is a satirical website that has this disclaimer on its &#8220;<a href=&quot;https://www.the-postillon.com/p/faq.html&quot;>FAQ</a>&#8221; page:</p><p>&#8220;everything you can read here is satire and therefore all made-up. Any resemblance to actual persons, living or dead, or actual events is purely coincidental.&#8221;</p><p>However, the stories that appear on this are sometimes copied and reposted by websites that have no such disclaimer.</p>",2018-11-18
therightists.com,"The Rightists","<p><a href=&quot;http://therightists.com/&quot;>Therightists.com</a> describes itself as a &#8220;HYBRID site of news and satire.&#8221; It says on its &#8220;<a href=&quot;http://therightists.com/about-us/&quot;>About-Us</a>&#8221; page:</p><p>&#8220;This is HYBRID site of news and satire. part of our stories already happens, part, not yet. NOT all of our stories are true!&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/therightists.com&quot;>registered</a> to an owner in Israel.</p>",2018-11-18
topalertnews.com,"Top Alert News","<p><a href=&quot;https://topalertnews.com/&quot;>Topalertnews.com</a> is likely related to <a href=&quot;http://donaldtrumpnews.co/&quot;>Donald Trump News</a> (they have the same <a href=&quot;http://donaldtrumpnews.co/contact-us/&quot;>contact</a> information). It has this <a href=&quot;https://web.archive.org/web/20180730192830/https://topalertnews.com/disclaimer/&quot;>disclaimer</a>:</p><p>&#8220;Top Alert News does not make any warranties about the completeness, reliability and accuracy of this information.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/topalertnews.com&quot;>registered</a> through Who is Guard, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
truthfeednews.com,"TRUTHFEED","<p><a href=&quot;https://truthfeednews.com/&quot;>Truthfeednews.com</a> posts conservative-leaning stories and appears to be related to kagfeed.com, which refers to TRUTHFEED&#8217;s domain on its &#8220;<a href=&quot;https://web.archive.org/web/20180712162520/https://kagfeed.com/privacy-policy/&quot;>Privacy Policy</a>&#8221; page. TRUTHFEED has this disclaimer on its &#8220;<a href=&quot;https://truthfeednews.com/terms-of-services/&quot;>Terms of Service</a>&#8221; page:</p><p>&#8220;<span>Your use of the Service is at your sole risk. The Service is provided on an &#8216;AS IS&#8217; and &#8216;AS AVAILABLE&#8217; basis. The Service is provided without warranties of any kind, whether express or implied, including, but not limited to, implied warranties of merchantability, fitness for a particular purpose, non-infringement or course of performance.</span>&#8221;</p><p>The site is <a href=&quot;https://whois.icann.org/en/lookup?name=truthfeednews.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
universaleinfo.com,"Universale Info","<p><a href=&quot;https://www.universaleinfo.com/&quot;>Universaleinfo.com</a> doesn&#8217;t have a disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/universaleinfo.com&quot;>registered</a> to an owner in Macedonia.</p>",2018-11-18
trainnews.info,"USA Train News","<p><a href=&quot;https://www.trainnews.info/&quot;>Trainnews.info</a> posts conservative-leaning stories, many of which are copied from other sites, and has no disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/trainnews.info&quot;>registered</a> to an owner in Venezuela.</p>",2018-11-18
ussanews.com,"USSA News","<p><a href=&quot;http://ussanews.com/News1/&quot;>Ussanews.com</a> calls itself &#8220;the Tea Party&#8217;s front page&#8221; and says on its &#8220;<a href=&quot;http://ussanews.com/News1/about-ussanews-com/&quot;>About</a>&#8221; page:</p><p>&#8220;<span>This site is here directly because of the direction this country, the USA, is headed. Too much government!</span>&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/ussanews.com&quot;>registered</a> through Tucows, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
viralcords.com,"Viral Cords","<p><a href=&quot;https://viralcords.com/&quot;>Viralcords.com</a> doesn&#8217;t have a disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/viralcords.com&quot;>registered</a> through Data Protected, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
viralnewspbs.site,"Viral News PBS","<p><a href=&quot;https://viralnewspbs.site/&quot;>Viralnewspbs.site</a> posts clickbait stories copied from other websites. It has no disclaimer and no information about who runs it. It is not affiliated with the Public Broadcasting Service.</p><p>The site is <a href=&quot;http://whois.domaintools.com/viralnewspbs.site&quot;>registered</a> through Who is Guard, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
viralitythings.us,"Virality Things","<p><a href=&quot;http://viralitythings.us/&quot;>Viralitythings.us</a> posts stories copied from other sites. It has no disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/viralitythings.us&quot;>registered</a> to an owner in Kosovo.</p>",2018-11-18
webviners.com,"WebViners.com","<p><a href=&quot;http://webviners.com/&quot;>Webviners.com</a> posts right-leaning stories that have been copied from other sites. It has no disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/webviners.com&quot;>registered</a> to an owner in Kosovo.</p>",2018-11-18
worldnewsdailyreport.com,"World News Daily Report","<p>World News Daily Report is a self-described satirical website. It includes a <a href=&quot;https://worldnewsdailyreport.com/grandmother-with-ak-47-saves-cops-being-attacked-by-street-gang/&quot;>disclaimer</a> at the bottom of each page that says: “World News Daily Report assumes all responsibility for the satirical nature of its articles and for the fictional nature of their content. All characters appearing in the articles in this website – even those based on real people – are entirely fictional and any resemblance between them and any person, living, dead or undead, is purely a miracle.”</p>",2018-11-18
worldnews-24.press,"The World News Press","<p><a href=&quot;http://worldnews-24.press/&quot;>Worldnews-24.press</a> posts clickbait stories and has no disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/worldnews-24.press&quot;>registered</a> through Who is Guard, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
yournewswire.com,"Your News Wire","<p><a href=&quot;https://yournewswire.com/&quot;>Yournewswire.com</a> has been a prolific poster of misinformation and conspiracy theories. The website now redirects to newspunch.com &#8212; another domain that Your News Wire has used in the past.</p><p><a href=&quot;https://web.archive.org/web/20181112200046/https:/newspunch.com/contact/&quot;>Both</a> <a href=&quot;http://whois.domaintools.com/yournewswire.com&quot;>sites</a> are registered by a company called <a href=&quot;https://businesssearch.sos.ca.gov/Document/RetrievePDF?Id=03688418-23547475&quot;>The People&#8217;s Voice</a>, which is run by <a href=&quot;https://yournewswire.com/contact/&quot;>Sean Adl-Tabatabai</a> in California.</p>",2018-11-18
