"domain"	"name"	"info"	"footnotes"
"nationalreport.net"	"NationalReport.net"	"Wikipedia: <a href=""/wiki/NationalReport.net"" class=""mw-redirect"" title=""NationalReport.net"">NationalReport.net</a>. Founder Jestin Coler told <i><a href=""/wiki/Columbia_Journalism_Review"" title=""Columbia Journalism Review"">Columbia Journalism Review</a></i>: ""When it comes to the fake stuff, you really want it to be red meat. [...] It doesn’t have to be offensive. It doesn’t have to be outrageous. It doesn’t have to be anything other than just giving them what they already wanted to hear."" In 2013, the nonpartisan <a href=""/wiki/FactCheck.org"" title=""FactCheck.org"">FactCheck.org</a> deemed NationalReport.net a satirical site. The site's disclaimer states ""All news articles contained within National Report are fiction, and presumably fake news. Any resemblance to the truth is purely coincidental.""<sup id=""cite_ref-90"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-90"">[90]</a></sup>"	"<sup id=""cite_ref-cjr_11-2"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-cjr-11"">[11]</a></sup><sup id=""cite_ref-atc_37-3"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-atc-37"">[37]</a></sup><sup id=""cite_ref-snopes_28-5"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup><sup id=""cite_ref-91"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-91"">[91]</a></sup>"
"naturalnews.com"	"Natural News"	"Wikipedia: <a href=""/wiki/Natural_News"" title=""Natural News"">Natural News</a>. Formerly NewsTarget, a website for the sale of various <a href=""/wiki/Dietary_supplement"" title=""Dietary supplement"">dietary supplements</a>, promotion of <a href=""/wiki/Alternative_medicine"" title=""Alternative medicine"">alternative medicine</a>, controversial nutrition and health claims, and various <a href=""/wiki/Conspiracy_theory"" title=""Conspiracy theory"">conspiracy theories</a>, such as ""<a href=""/wiki/Chemtrails"" class=""mw-redirect"" title=""Chemtrails"">chemtrails</a>"", <a href=""/wiki/Chemophobia"" title=""Chemophobia"">chemophobic</a> claims (including the purported dangers of <a href=""/wiki/Water_fluoridation_controversy"" title=""Water fluoridation controversy"">fluoride in drinking water</a>, <a href=""/wiki/Deodorant#Deodorant_antiperspirant"" title=""Deodorant"">anti-perspirants</a>, <a href=""/wiki/Laundry_detergent"" title=""Laundry detergent"">laundry detergent</a>, <a href=""/wiki/Monosodium_glutamate"" title=""Monosodium glutamate"">monosodium glutamate</a>, <a href=""/wiki/Aspartame"" title=""Aspartame"">aspartame</a>), and <a href=""/wiki/Anti-vaccination_movement"" class=""mw-redirect"" title=""Anti-vaccination movement"">purported health problems</a> caused by allegedly ""toxic"" ingredients in vaccines, including the <a href=""/wiki/MMR_vaccine_controversy"" title=""MMR vaccine controversy"">now-discredited link to autism</a>."	"<sup id=""cite_ref-usnews_17-5"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-usnews-17"">[17]</a></sup><sup id=""cite_ref-Novella2010_92-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-Novella2010-92"">[92]</a></sup><sup id=""cite_ref-93"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-93"">[93]</a></sup><sup id=""cite_ref-crank_94-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-crank-94"">[94]</a></sup><sup id=""cite_ref-95"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-95"">[95]</a></sup>"
"nbcnews.com.co"	"NBCNews.com<b>.co</b>"	"Owned by <a href=""/wiki/Paul_Horner"" title=""Paul Horner"">Paul Horner</a>. Mimics the URL, design and logo of <a href=""/wiki/NBC_News"" title=""NBC News"">NBC News</a>."	"<sup id=""cite_ref-96"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-96"">[96]</a></sup>"
"neonnettle.com"	"Neonnettle.com"	"This fake news website ""tried to connect the random deaths of doctors with conspiracy theories around vaccination"" in a phony story from 2017."	"<sup id=""cite_ref-HeiglNeon_97-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-HeiglNeon-97"">[97]</a></sup>"
"newsbreakhere.com"	"News Breaks Here"	""	"<sup id=""cite_ref-Mcintire_98-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-Mcintire-98"">[98]</a></sup>"
"newsbuzzdaily.com"	"NewsBuzzDaily <i>(defunct)</i>"	"This fake news website mostly consists of celebrity gossip and death hoaxes, but a few of its other stories became popular on social media. When the site was up it said that it was ""a combination of real shocking news and satire news"" and that articles were for ""entertainment and satirical purposes"" only.<sup id=""cite_ref-snopes_28-6"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup>"	"<sup id=""cite_ref-snopes_28-7"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup>"
"newsexaminer.net"	"News Examiner"	"Started in 2015 by <a href=""/wiki/Paul_Horner"" title=""Paul Horner"">Paul Horner</a>, the lead writer of the <a href=""/wiki/National_Report"" title=""National Report"">National Report</a>. This website has been known to mix real news along with its fake news."	"<sup id=""cite_ref-snopes_28-8"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup>"
"newshounds.us"	"News Hound"	"(BG-note: URL?)"	"<sup id=""cite_ref-Rensin_43-4"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-Rensin-43"">[43]</a></sup>"
"newswatch33.com"	"<span id=""NewsWatch33"">NewsWatch33</span>"	"Began in April 2015 under the name NewsWatch28, later becoming NewsWatch33. The website disguises itself as a local television outlet. It has also been known to mix real news along with its fake news in an attempt to circumvent Facebook’s crackdown on them."	"<sup id=""cite_ref-snopes_28-9"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup>"
"now8news.com"	"Now 8 News (Now8News.com)"	"Started in 2015, this fake news website is also designed to look like a local television outlet. Several of the website's fake stories have successfully spread on social media."	"<sup id=""cite_ref-snopes_28-10"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup><sup id=""cite_ref-101"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-101"">[101]</a></sup><sup id=""cite_ref-GillinNow_102-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-GillinNow-102"">[102]</a></sup>"
"odishatv.in"	"Odisha TV"	"Wikipedia: <a href=""/wiki/Odisha_TV"" title=""Odisha TV"">Odisha TV</a> (<a rel=""nofollow"" class=""external free"" href=""https://odishatv.in/"">https://odishatv.in/</a>). Odisha TV or OTV is a regional <a href=""/wiki/Odia_language"" title=""Odia language"">Odia</a> <a href=""/wiki/India"" title=""India"">Indian</a> <a href=""/wiki/Cable_television"" title=""Cable television"">Cable Television</a> station. It is the flagship channel of the <a href=""/wiki/Bhubaneswar"" title=""Bhubaneswar"">Bhubaneswar</a>-based Odisha Television Network. It was started and promoted by <a href=""/wiki/Jagi_Mangat_Panda"" class=""mw-redirect"" title=""Jagi Mangat Panda"">Jagi Mangat Panda</a>. <a rel=""nofollow"" class=""external text"" href=""https://www.dailypioneer.com/2018/state-editions/otv-airing-paid-pro-bjp-news-bjd-to-ceo.html"">This recently converted ""paid media"" has been spreading anti-government stories after the co-owner of the channel was removed from the party</a> . Further, other TV channels and newspapers have also published about the fake news broadcast by OTV against the BJD Government, the ruling party of eastern Indian state of Odisha<sup id=""cite_ref-131"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-131"">[131]</a></sup><sup id=""cite_ref-132"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-132"">[132]</a></sup>. Other instances of Fake News broadcast by the Odisha TV (<a rel=""nofollow"" class=""external free"" href=""https://odishatv.in/"">https://odishatv.in/</a>) are about SOA University, Deemed to be University, where it was reported that the University illegally admits students without AICTE approval, which was not true. The University filed a court case against OTV (<a rel=""nofollow"" class=""external free"" href=""https://odishatv.in/"">https://odishatv.in/</a>)<sup id=""cite_ref-133"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-133"">[133]</a></sup> and OTV also broadcast motivated news against a BJD leader alleging corruption<sup id=""cite_ref-134"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-134"">[134]</a></sup>."	""
"prntly.com"	"Prntly"	"<a href=""/wiki/Prntly"" title=""Prntly"">Prntly</a>. A <a href=""/wiki/Conservatism_in_the_United_States"" title=""Conservatism in the United States"">politically conservative</a> news site described by <i><a href=""/wiki/Snopes"" class=""mw-redirect"" title=""Snopes"">Snopes</a></i> as ""a disreputable outlet that has a penchant for publishing both fake news and spurious pro-Trump articles""."	"<sup id=""cite_ref-Snopes_103-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-Snopes-103"">[103]</a></sup><sup id=""cite_ref-104"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-104"">[104]</a></sup>"
"react365.com"	"React 365"	"This user-created fake news generator, supposedly for ""pranking your friends"", had at least two stories that went viral."	"<sup id=""cite_ref-snopes_28-11"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup>"
"redflagnews.com"	"Red Flag News"	""	"<sup id=""cite_ref-usnews_17-6"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-usnews-17"">[17]</a></sup>"
"snoopack.com"	"Snoopack"	""	"<sup id=""cite_ref-abc-obama_105-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-abc-obama-105"">[105]</a></sup><sup id=""cite_ref-106"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-106"">[106]</a></sup>"
"spinzon.com"	"Spin Zone"	""	"<sup id=""cite_ref-107"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-107"">[107]</a></sup><sup id=""cite_ref-politifact-guide_108-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-politifact-guide-108"">[108]</a></sup>"
"stgeorgegazette.com"	"St George Gazette"	""	"<sup id=""cite_ref-109"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-109"">[109]</a></sup><sup id=""cite_ref-110"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-110"">[110]</a></sup>"
"stuppid.com"	"Stuppid"	"This fake news purveyor specializes in articles with stories that are morally offensive."	"<sup id=""cite_ref-snopes_28-13"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup>"
"superstation95.com"	"Super Station 95"	"(BG-note: https://www.snopes.com/tag/superstation95/)"	"<sup id=""cite_ref-111"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-111"">[111]</a></sup><sup id=""cite_ref-112"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-112"">[112]</a></sup><sup id=""cite_ref-113"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-113"">[113]</a></sup>"
"thegatewaypundit.com"	"The Gateway Pundit"	"Wikipedia: <a href=""/wiki/The_Gateway_Pundit"" title=""The Gateway Pundit"">The Gateway Pundit</a>. A popular right-wing blog prone to publishing false stories, including a story involving an unsubstantiated claim that <a href=""/wiki/Special_Counsel_investigation_(2017%E2%80%93present)"" title=""Special Counsel investigation (2017–present)"">Special Counsel</a> head <a href=""/wiki/Robert_Mueller"" title=""Robert Mueller"">Robert Mueller</a> sexually assaulted someone."	"<sup id=""cite_ref-46"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-46"">[46]</a></sup><sup id=""cite_ref-47"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-47"">[47]</a></sup>"
"thenewsnerd.com"	"The News Nerd"	"A defunct website which used to have a disclaimer on every page.<sup id=""cite_ref-99"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-99"">[99]</a></sup>"	"<sup id=""cite_ref-Rensin_43-5"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-Rensin-43"">[43]</a></sup>"
"thenewyorkevening.com"	"The New York Evening (TheNewYorkEvening.com)"	"This fake news website has spread numerous false claims, including a fake story claiming that <a href=""/wiki/Malia_Obama"" class=""mw-redirect"" title=""Malia Obama"">Malia Obama</a> had been expelled from <a href=""/wiki/Harvard_University"" title=""Harvard University"">Harvard</a>."	"<sup id=""cite_ref-GillinNYEvening_100-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-GillinNYEvening-100"">[100]</a></sup>"
"thepredicted.com"	"The Predicted"	""	"<sup id=""cite_ref-huffpost-bernie_18-1"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-huffpost-bernie-18"">[18]</a></sup>"
"thereporterz.com"	"The Reporterz"	"Starting in early 2016, this fake news website penned several different hoaxes, including one about a murder over a <a href=""/wiki/Twitter"" title=""Twitter"">Twitter</a> trend."	"<sup id=""cite_ref-snopes_28-12"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup>"
"truetrumpers.com"	"TrueTrumpers.com"	"This fake news website makes ""claims about President Donald Trump, former President Barack Obama and Muslims, in particular, as well as click-baiting claims about porn stars and secret tricks for weight loss and whiter teeth."""	"<sup id=""cite_ref-Doubek_114-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-Doubek-114"">[114]</a></sup>"
