"domain"	"name"	"info"	"footnotes"
"uconservative.net."	"UConservative"	""	"<sup id=""cite_ref-austin_115-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-austin-115"">[115]</a></sup><sup id=""cite_ref-116"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-116"">[116]</a></sup>"
"undergroundnewsreport.com"	"UndergroundNewsReport.com"	"According to PolitiFact, ""the site purposely writes outlandish stories to trick readers"". Launched on February 21, 2017, the website gained more than 1 million page views in its first two weeks; in less than a month the site was sued by <a href=""/wiki/Whoopi_Goldberg"" title=""Whoopi Goldberg"">Whoopi Goldberg</a>."	"<sup id=""cite_ref-117"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-117"">[117]</a></sup><sup id=""cite_ref-118"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-118"">[118]</a></sup>"
"unitedmediapublishing.com"	"United Media Publishing"	"Owned by Jestin Coler."	"<sup id=""cite_ref-atc_37-4"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-atc-37"">[37]</a></sup>"
"usadailyinfo.com"	"USA Daily Info"	""	"<sup id=""cite_ref-119"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-119"">[119]</a></sup><sup id=""cite_ref-120"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-120"">[120]</a></sup>"
"usatoday.com.co"	"usatoday.com<b>.co</b>"	""	"<sup id=""cite_ref-atc_37-5"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-atc-37"">[37]</a></sup>"
"uspostman.com"	"US Postman"	""	"<sup id=""cite_ref-politifact-guide_108-1"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-politifact-guide-108"">[108]</a></sup><sup id=""cite_ref-121"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-121"">[121]</a></sup>"
"washingtonpost.com.co"	"washingtonpost.com<b>.co</b>"	"Originally registered by Jestin Coler. <i>The Washington Post</i> submitted a complaint against Coler's registration of the site with <a href=""/wiki/GoDaddy"" title=""GoDaddy"">GoDaddy</a> under the <a href=""/wiki/Uniform_Domain-Name_Dispute-Resolution_Policy"" title=""Uniform Domain-Name Dispute-Resolution Policy"">UDRP</a>, and in 2015, an <a href=""/wiki/Arbitration"" title=""Arbitration"">arbitral panel</a> ruled that Coler's registration of the <a href=""/wiki/Domain_name"" title=""Domain name"">domain name</a> was a form of bad-faith <a href=""/wiki/Cybersquatting"" title=""Cybersquatting"">cybersquatting</a> (specifically, <a href=""/wiki/Typosquatting"" title=""Typosquatting"">typosquatting</a>), ""through a website that competes with Complainant through the use of fake news. ... The fake news content misleads readers and serves as 'click bait' to drive readers to other sites, or to share the fake news content with others on social networking websites, to generate advertising revenue."""	"<sup id=""cite_ref-122"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-122"">[122]</a></sup><sup id=""cite_ref-atc_37-6"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-atc-37"">[37]</a></sup>"
"worldnewsdailyreport.com"	"World News Daily Report"	"Wikipedia: <span id=""[[World_News_Daily_Report]]""><a href=""/wiki/World_News_Daily_Report"" title=""World News Daily Report"">World News Daily Report</a></span> (worldnewsdailyreport.com)<sup class=""noprint Inline-Template"" style=""white-space:nowrap;"">[<i><a href=""/wiki/Wikipedia:Disputed_statement"" class=""mw-redirect"" title=""Wikipedia:Disputed statement""><span title=""This claim has reliable sources with contradicting facts (December 2017)"">disputed</span></a> <span class=""metadata""> – <a href=""/wiki/Talk:List_of_fake_news_websites"" title=""Talk:List of fake news websites"">discuss</a></span></i>]</sup> . Run by Janick Murray-Hall. Its disclaimer states, ""World News Daily Report assumes all responsibility for the satirical nature of its articles and for the fictional nature of their content. All characters appearing in the articles in this website—even those based on real people—are entirely fictional and any resemblance between them and any person, living, dead or undead, is purely a miracle.""<sup id=""cite_ref-123"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-123"">[123]</a></sup>"	"<sup id=""cite_ref-124"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-124"">[124]</a></sup>"
"worldtruth.tv"	"World Truth TV"	""	"<sup id=""cite_ref-usnews_17-7"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-usnews-17"">[17]</a></sup>"
"yournewswire.com"	"Your News Wire"	"Wikipedia: <a href=""/wiki/Your_News_Wire"" title=""Your News Wire"">Your News Wire</a> (YourNewsWire.com) Founded by Sean Adl-Tabatabai and Sinclair Treadway in 2014. It has published fake stories, such as ""claims that the Queen had threatened to abdicate if the UK voted against Brexit."""	"<sup id=""cite_ref-125"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-125"">[125]</a></sup><sup id=""cite_ref-Boswell_126-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-Boswell-126"">[126]</a></sup><sup id=""cite_ref-127"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-127"">[127]</a></sup><sup id=""cite_ref-128"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-128"">[128]</a></sup><sup id=""cite_ref-129"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-129"">[129]</a></sup><sup id=""cite_ref-130"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-130"">[130]</a></sup>"
